No.,CAS,SMILES,pLD50
274,58013-17-5,Clc1ccccc1N2CCN(CCc3cccnc3)CC2,-2.01
275,59209-57-3,CCC1(N(C)C(=O)CCl)C(=O)c2ccccc2C1=O,-2.85
276,59209-60-8,CCCNC1(CC)C(=O)c2ccccc2C1=O,-2.98
277,59209-61-9,CCN(CC)CC(=O)N(C)C1(CC)C(=O)c2ccccc2C1=O,-2.85
278,59209-62-0,CCC1(N(C)C(=O)CN2CCCCC2)C(=O)c3ccccc3C1=O,-2.64
279,59209-63-1,CCC1(N(C)C(=O)CN2CCOCC2)C(=O)c3ccccc3C1=O,-2.99
280,61925-94-8,CC(Cc1ccccc1)NC(=O)C(N)Cc2ccccc2,-2.04
281,61925-95-9,CC(Cc1ccccc1)N(C)C(=O)C(N)Cc2ccccc2,-2.23
282,62209-22-7,C[N+]1(C)CCCC1CC(=O)CC2CCC[N+]2(C)C,-2.05
283,63152-60-3,Cc1noc2cccc(OCC(O)CNC(C)(C)C)c12,-2.29
284,63445-61-4,CC1C(C)C(=O)CCN1CC#Cc2ccccc2,-2.54
285,63445-63-6,CC1CC(=O)C(C)CN1CC#Cc2ccccc2,-2.65
286,63445-67-0,CC1C(N(CC#Cc2ccccc2)CCC1=O)c3ccccc3,-2.70
287,63446-12-8,C[N+](C)(CCCCc1occc1)Cc2ccccc2,-2.00
288,63446-14-0,CC[N+](C)(C)CCCCCc1occc1,-1.72
289,63446-16-2,CC(CCCCc1occc1)[N+](C)(C)C,-1.49
290,63446-17-3,CC[N+](C)(C)C(C)CCCCc1occc1,-1.77
291,63446-18-4,CC(CCCCc1occc1)[N+](C)(C)Cc2ccccc2,-1.93
292,63446-19-5,CN(C)CCCCc1occc1,-2.05
293,63446-21-9,CC(CCCCc1occc1)N(C)C,-1.80
294,63473-99-4,OC(CNC1CCCCC1)COC2CCCCC2,-1.99
295,63474-03-3,CC(C)(C)NCC(O)COC1CCCCC1,-2.05
296,63474-04-4,CC(C)NCC(O)COCc1ccccc1,-2.22
297,63474-06-6,CC(C)(C)NCC(O)COCc1ccccc1,-2.15
298,63474-11-3,CC(C)NCC(O)COC1CCCC1,-2.20
299,63474-12-4,OC(CNC1CCCCC1)COC2CCCC2,-2.22
300,63480-91-1,CC[N+](C)(C)CCCCc1occc1,-1.49
301,63519-97-1,CC(C)(C)NCC(O)COC1CCCC1,-2.16
302,63519-98-2,OC(CNC1CCCCC1)COCc2ccccc2,-1.65
303,63722-05-4,C[N+](C)(CCOCC[N+](C)(C)Cc1ccccc1)Cc2ccccc2,-1.26
304,63951-18-8,CC[N+](C)(C)CCOCC[N+](C)(CC)CC,-2.18
